letter,frequency
Х,15.480810694264768
Ќ,8.926261319534282
П,8.624407072013799
Д,8.236308753773178
Љ,7.287623975851661
Ѓ,6.554549374730486
Ч,4.829667960327728
У,4.786545924967658
И,4.010349288486417
Ж,3.7084950409659334
С,3.6653730056058644
Ц,3.5791289348857265
Т,2.673566192324278
Е,2.3717119448037947
Л,2.1992238033635187
Ј,2.1561017680034498
Н,2.112979732643381
Р,1.8973695558430357
З,1.6386373436826216
В,1.5523932729624839
Џ,1.207416990081932
К,0.7761966364812419
О,0.603708495040966
Ѕ,0.258732212160414
Њ,0.258732212160414
Ш,0.172488141440276
Г,0.172488141440276
А,0.086244070720138
ѐ,0.043122035360069
Ф,0.043122035360069
O,0.043122035360069
